State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-06-07,0,0,0,0,3.313888888333333,0,0,0,0
2020-06-08,0,0,0,0.30888888833333333,0,0.260555555,0,0,0
2020-06-09,0,0.0022222216666666667,0,0.5713888883333333,0,0,0.315,0,0
2020-06-10,2.7777833333333333e-4,0,0,1.9022222233333332,0,0.08777777833333333,0.4913888883333334,0,0
2020-06-11,0,0,0,0,0,0.44416666666666665,0,0,0
2020-06-13,0,0,0,0.4775,0,0.035,0,0,0
2020-06-15,0,0,0,0.363055555,0,0.09472222166666668,0,0,0
2020-06-17,0,0,0,0,0,0.41138888833333337,0.08583333333333334,0,0
2020-06-18,0,0,0,0.7858333333333333,0,0.099444445,1.2319444433333333,0,0
2020-06-19,0,0,0,0,0,0.14972222166666665,5.9591666666666665,0,0
2020-06-20,2.2969444450000003,0,0,0,0,0,1.5569444449999998,0,0
2020-06-24,0,0,0,0.016111111666666667,0,0,0.6950000000000001,0,0
2020-06-25,0,0,0,1.9458333333333333,0,0,0.7047222233333335,0,0
2020-06-26,0,0,0,1.463055555,0,0,0,0,0
2020-06-28,0,0,0,0.291944445,0,0,0,0,0
2020-06-29,0,0,0,1.3452777766666666,0,1.5252777783333333,0,0,0
2020-06-30,0,0,0,0,0,0.556944445,0,0,0
2020-07-01,0,0,0,0,0,0.9197222216666667,0,0,0
2020-07-02,0,0,0,1.1475,0,0,0,0,0
2020-07-03,0,0,0,0,0,0.10694444500000001,0,0,0
2020-07-04,0,0,0,0.5991666666666667,0,0,0,0,0
2020-07-06,0,0.14888888833333333,0,0.5241666666666667,0,1.3363888883333332,0,0,0
2020-07-08,0,0,0,3.9544444433333332,0,0.09583333333333334,0,0,0
2020-07-09,0,0.019722221666666664,0,0,0,0.425,0,0,0
2020-07-11,0,0.803055555,0,3.280555555,0,0.03833333333333333,0,0,0
2020-07-12,0,0.7552777783333333,0,0.7288888883333333,0,0,0,0,0
2020-07-13,0,0.585555555,0,0,0,0,0,0,0
2020-07-14,0.095,0.07111111166666667,0,0,0,0,0,0,0
2020-07-15,0.510555555,0,0,0,0,0,0,0,0
2020-07-16,0,0.0022222216666666667,0,0,0,0.306944445,0,0,0
2020-07-17,0.3249999983333334,0.37361111,0,0,0,0,0,0,0
2020-07-18,0.12861111166666667,2.293055555,0,0.5038888883333333,0,0,0,0,0
2020-07-19,0.5705555566666667,0.10611111166666666,0,0,0,0,0,0,0
2020-07-20,0,1.2025000000000001,0,0,0,0.3333333333333333,0,0,0
2020-07-21,0.4975,0.0016666666666666668,0,0.980555555,0,0.7308333333333333,0,0,0
2020-07-22,0.5408333333333333,0.4263888883333333,0,0,0,0,0,0,0
2020-07-23,0,1.2108333333333334,0,0,0,0,0,0,0
2020-07-24,0,0.29916666833333333,0,0.30305555500000003,0,0.071944445,0,0,0
2020-07-25,0,0.154444445,0,0.7677777783333333,0,0,0,0,0
2020-07-26,0.02888888833333333,0.96,0,0.4627777783333333,0,0,0,0,0
2020-07-27,0,0.28583333333333333,0,0.249444445,0,0,0,0,0
2020-07-28,0,0,0,0.5761111116666666,0,0,0,0,0
2020-07-30,0,0,0,0.26083333333333336,0,0,0,0,0
2020-07-31,0,0.7705555550000001,0,0,0,0.535555555,0,0,0
2020-08-01,0,0.396944445,0,1.3822222233333334,0,0,0,0,0
2020-08-02,0,0.09388888833333334,0,0.4955555566666667,0,0.13333333333333333,0,0,0
2020-08-03,0,0.07416666666666667,0,0.04611111166666667,0,0,0,0,0
2020-08-04,0,0,0,0.8875,0,0,0,0,0
2020-08-05,0,0,0,0.49694444499999996,0,0,0,0,0
2020-08-08,0,0,0,0.179444445,0,0.075,0,0,0
2020-08-09,0,0.23361111166666665,0,0.9341666666666666,0,0.25638888833333334,0,0,0
2020-08-11,0.4111111116666667,0.08111111166666667,0,1.2341666666666666,0,0.668055555,0,0,0
2020-08-12,0,0.037222221666666666,0,1.2841666666666667,0,0,0,0,0
2020-08-13,0,0,0,0,0,0.7891666666666668,0,0,0
2020-08-14,0,0.09222222166666666,0,1.6875,0,0.29,1.1416666666666666,0,0
2020-08-15,0.003333333333333333,0.383333335,0,0,0,0,0.47138888833333337,0,0
2020-08-16,0,1.3397222216666667,0,0,0,0.17666666666666667,0,0,0
2020-08-18,0,2.8016666683333336,0,0,0,1.2347222216666667,0,0,0
2020-08-19,1.3869444450000001,0.20444444333333334,0,0.36000000000000004,0,0,0.39499999999999996,0,0
2020-08-21,2.2394444449999997,1.2166666666666666,0,0.30777777833333336,0,0.3830555566666667,0.485555555,0,0
2020-08-22,0,0,0,1.4552777783333333,0,1.5466666666666666,0.4358333333333333,0,0
2020-08-23,0,0.9808333333333333,0,0.836944445,0,3.470833333333333,2.19,0,0
2020-08-25,0,0.9261111116666667,0,0.6647222216666666,0,0,0.8458333333333333,0,0
2020-08-26,0,2.9833333333333334,0,0,0,0,0,0,0
2020-08-27,0,0,0,0,0,0.17083333333333334,0,0,0
2020-08-29,0,0,0,0.5408333333333334,0,0.5291666666666667,0.005833333333333333,0,0
